source_device,tweet_language,avg_favorites,avg_hashtag_count
"<a href=\"http://www.tobeannounced.com\" rel=\"nofollow\">News Users</a>",en,0.0,6.0
"<a href=\"https://larnakaonline.com.cy/\" rel=\"nofollow\">Larnakaonline</a>",el,0.0,2.0
"<a href=\"https://twitter.com/pubhealth_watch\" rel=\"nofollow\">publichealthaggregator</a>",en,0.0,1.0
"<a href=\"https://paper.li\" rel=\"nofollow\">Paper.li</a>",en,0.0,1.0
"<a href=\"http://www.linkedin.com/\" rel=\"nofollow\">LinkedIn</a>",en,0.0,1.5
"<a href=\"https://www.semrush.com/\" rel=\"nofollow\">Semrush Social Media Tool</a>",en,0.0,1.5
"<a href=\"http://publicize.wp.com/\" rel=\"nofollow\">Jetpack.com</a>",pt,0.0,1.75
"<a href=\"https://covid19travel.com\" rel=\"nofollow\">Covid19Travel Twitter bot app</a>",en,0.0,3.0
"<a href=\"https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels\" rel=\"nofollow\">PublicaWeb_diariodeosorno</a>",es,0.0,2.0
"<a href=\"https://boto.io\" rel=\"nofollow\">boto_io</a>",en,0.0,4.0
"<a href=\"https://www.radioking.com\" rel=\"nofollow\">Radio King LiveTweet</a>",en,0.0,4.0
"<a href=\"https://aiir.com\" rel=\"nofollow\">Aiir</a>",en,0.0,3.0
"<a href=\"http://pardot.com\" rel=\"nofollow\">Pardot</a>",en,0.0,1.0
"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>",pt,0.0,4.0
"<a href=\"http://www.hubspot.com/\" rel=\"nofollow\">HubSpot</a>",de,0.0,1.0
"<a href=\"https://www.youtube.com/channel/UC2QMay1Q--ytiOUHOKb26Ww\" rel=\"nofollow\">botty0.9</a>",en,0.0,6.0
"<a href=\"https://twitter.bot\" rel=\"nofollow\">jayeshthakur</a>",en,0.0,5.0
"<a href=\"https://we-twitter-bot.herokuapp.com/\" rel=\"nofollow\">WePesaroBot</a>",it,0.0,2.0
"<a href=\"https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels\" rel=\"nofollow\">E-Gon</a>",cs,0.0,6.0
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",kn,0.0,18.0
"<a href=\"https://www.facebook.com/socialmlabs/\" rel=\"nofollow\">mLabs - Gestão de Redes Sociais</a>",pt,0.0,5.5
"<a href=\"https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels\" rel=\"nofollow\">CompChemBio Bot</a>",en,0.0,0.6666666666666666
"<a href=\"https://www.mylibertynews.com\" rel=\"nofollow\">Myliberty News Website</a>",en,0.0,2.0
"<a href=\"https://twitter.com/zeitferne\" rel=\"nofollow\">Covid19at-Melder</a>",de,0.0,1.0
"<a href=\"https://www.leadconnectorhq.com/\" rel=\"nofollow\">LeadConnector</a>",en,0.0,18.0
"<a href=\"https://www.rssground.com\" rel=\"nofollow\">RSS Ground</a>",en,0.0,2.0
"<a href=\"https://app.agorapulse.com\" rel=\"nofollow\">Agorapulse app</a>",cy,0.0,1.0
"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>",en,0.0,0.4
"<a href=\"https://varta1.com/\" rel=\"nofollow\">varta1</a>",uk,0.0,3.0
"<a href=\"http://www.bahiaja.com.br\" rel=\"nofollow\">Portal Bahia Já</a>",pt,0.0,1.0
"<a href=\"https://upstract.com\" rel=\"nofollow\">Upstract News Broadcast</a>",en,0.0,6.0
"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>",nl,0.0,3.0
"<a href=\"http://radio3.io/\" rel=\"nofollow\">radio3.io</a>",en,0.0,1.0
"<a href=\"https://sproutsocial.com\" rel=\"nofollow\">Sprout Social</a>",ta,0.0,2.0
"<a href=\"https://gambiste.com\" rel=\"nofollow\">Gambiste</a>",en,0.0,1.0
"<a href=\"https://libyaupdate.com\" rel=\"nofollow\">The Libya Update</a>",en,0.0,1.0
"<a href=\"https://noticiasdeldf.com\" rel=\"nofollow\">NoticiasdelDF</a>",es,0.0,1.0
"<a href=\"https://www.corvusengineering.com\" rel=\"nofollow\">CorvusTwitterApp</a>",en,0.0,1.0
"<a href=\"http://www.powerapps.com\" rel=\"nofollow\">Microsoft Power Platform</a>",in,0.0,2.0
"<a href=\"http://www.masantefacile.com\" rel=\"nofollow\">Masantefacile</a>",fr,0.0,3.0
"<a href=\"https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels\" rel=\"nofollow\">https://speedynews.gr</a>",el,0.0,4.0
"<a href=\"https://greatlysocial.com\" rel=\"nofollow\">Greatly Social Twitter</a>",en,0.0,1.0
"<a href=\"https://nectar.social\" rel=\"nofollow\">BHIVE Nectar</a>",en,0.0,4.5
"<a href=\"https://twitter.com/i/events/1456416669014790155\" rel=\"nofollow\">adesignerWORKS</a>",ja,0.0,10.0
"<a href=\"https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels\" rel=\"nofollow\">BinfoTrends</a>",en,0.0,1.0
"<a href=\"https://www.kpaudel.com\" rel=\"nofollow\">corona-tracker-app</a>",en,0.0,8.0
"<a href=\"https://app.italynowadays.it/\" rel=\"nofollow\">Italy Nowadays</a>",it,0.0,1.0
